OBJECTID,ZONE_,DISTRICT,MAPNO,ARTICLE,SUBDISTRIC,Unique_Code,FAR,Shape_STArea__,Shape_STLength__,Zone_Desc
62676,1F-9000,Hyde Park Neighborhood,12,69,Residential,Hyde Park Neighborhood 1F-9000,0.3,0,0,One-Family Residential
62677,1F-6000,Hyde Park Neighborhood,12,69,Residential,Hyde Park Neighborhood 1F-6000,0.5,0,0,One-Family Residential
62678,CPS,Hyde Park Neighborhood,12,69,Miscellaneous,Hyde Park Neighborhood CPS,0.3,0,0,Conservation Protection
62679,OS-UP,Hyde Park Neighborhood,12,69,Open Space,Hyde Park Neighborhood OS-UP,,0,0,Urban Plaza Open Space
62680,CPS,Hyde Park Neighborhood,12,69,Miscellaneous,Hyde Park Neighborhood CPS,0.3,0,0,Conservation Protection
62681,SOUTH BOSTON MARITIME ECONOMY RESERVE,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Industrial,Harborpark: Dorchester Bay/Neponset River Waterfront SOUTH BOSTON MARITIME ECONOMY RESERVE,2,0,0,Maritime Economy Reserve
62682,H-2-D-65,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Residential,Harborpark: Dorchester Bay/Neponset River Waterfront H-2-D-65,2,0,0,Apartment Residential
62683,H-2-55,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Residential,Harborpark: Dorchester Bay/Neponset River Waterfront H-2-55,2,0,0,Apartment Residential
62684,CASTLE ISLAND/ COLUMBUS PARK SHORELAND OPEN SPACE SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Open Space,Harborpark: Dorchester Bay/Neponset River Waterfront CASTLE ISLAND/ COLUMBUS PARK SHORELAND OPEN SP*,,0,0,Shoreland Open Space
62685,1F-6000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-6000,0.4,0,0,One-Family Residential
62686,1F-6000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-6000,0.4,0,0,One-Family Residential
62687,OS-P,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
62688,2F-6000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 2F-6000,0.8,0,0,Two-Family Residential
62689,MFR,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62690,CPS,West Roxbury Neighborhood,11A-11E,56,Miscellaneous,West Roxbury Neighborhood CPS,0.3,0,0,Conservation Protection
62691,OS-CM,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-CM,,0,0,Cemetery Open Space
62692,1F-6000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-6000,0.4,0,0,One-Family Residential
62693,1F-6000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-6000,0.4,0,0,One-Family Residential
62694,NS,West Roxbury Neighborhood,11A-11E,56,Business,West Roxbury Neighborhood NS,2,0,0,Neighborhood Shopping
62695,1F-6000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-6000,0.4,0,0,One-Family Residential
62696,1F-6000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-6000,0.4,0,0,One-Family Residential
62697,1F-6000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-6000,0.4,0,0,One-Family Residential
62698,NS,West Roxbury Neighborhood,11A-11E,56,Business,West Roxbury Neighborhood NS,2,0,0,Neighborhood Shopping
62699,MFR,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62700,LI,West Roxbury Neighborhood,11A-11E,56,Industrial,West Roxbury Neighborhood LI,2,0,0,Local Industrial
62701,LI,West Roxbury Neighborhood,11A-11E,56,Industrial,West Roxbury Neighborhood LI,2,0,0,Local Industrial
62702,OS-RC,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62703,OS,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS,,0,0,Open Space
62704,MFR,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62705,MFR,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62706,NS,West Roxbury Neighborhood,11A-11E,56,Business,West Roxbury Neighborhood NS,2,0,0,Neighborhood Shopping
62707,MFR,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62708,CPS,West Roxbury Neighborhood,11A-11E,56,Miscellaneous,West Roxbury Neighborhood CPS,0.3,0,0,Conservation Protection
62709,OS-UW,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-UW,,0,0,Urban Wild Open Space
62710,CPS,West Roxbury Neighborhood,11A-11E,56,Miscellaneous,West Roxbury Neighborhood CPS,0.3,0,0,Conservation Protection
62711,MFR,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62712,OS-RC,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62713,OS-CM,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-CM,,0,0,Cemetery Open Space
62714,NS,West Roxbury Neighborhood,11A-11E,56,Business,West Roxbury Neighborhood NS,2,0,0,Neighborhood Shopping
62715,OS-RC,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62716,OS-CM,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-CM,,0,0,Cemetery Open Space
62717,1F-8000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-8000,0.3,0,0,One-Family Residential
62718,1F-8000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-8000,0.3,0,0,One-Family Residential
62719,CPS,West Roxbury Neighborhood,11A-11E,56,Miscellaneous,West Roxbury Neighborhood CPS,0.3,0,0,Conservation Protection
62720,MFR,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62721,MFR,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62722,OS-CM,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-CM,,0,0,Cemetery Open Space
62723,OS-RC,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62724,OS-CM,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-CM,,0,0,Cemetery Open Space
62725,MFR,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62726,2F-6000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 2F-6000,0.8,0,0,Two-Family Residential
62727,1F-6000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-6000,0.4,0,0,One-Family Residential
62728,NS,West Roxbury Neighborhood,11A-11E,56,Business,West Roxbury Neighborhood NS,2,0,0,Neighborhood Shopping
62729,CC,West Roxbury Neighborhood,11A-11E,56,Business,West Roxbury Neighborhood CC,2,0,0,Community Commercial
62730,NI,West Roxbury Neighborhood,11A-11E,56,Comm/Instit,West Roxbury Neighborhood NI,1,0,0,Neighborhood Institutional
62731,1F-8000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-8000,0.3,0,0,One-Family Residential
62732,MFR,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62733,1F-8000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-8000,0.3,0,0,One-Family Residential
62734,1F-8000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-8000,0.3,0,0,One-Family Residential
62735,OS-UW,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-UW,,0,0,Urban Wild Open Space
62736,CPS,West Roxbury Neighborhood,11A-11E,56,Miscellaneous,West Roxbury Neighborhood CPS,0.3,0,0,Conservation Protection
62737,1F-6000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-6000,0.4,0,0,One-Family Residential
62738,1F-6000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-6000,0.4,0,0,One-Family Residential
